nose
left_ear
right_ear
left_ear_tip
right_ear_tip
left_eye
right_eye
neck
mid_back
mouse_center
mid_backend
mid_backend2
mid_backend3
tail_base
tail1
tail2
tail3
tail4
tail5
left_shoulder
left_midside
left_hip
right_shoulder
right_midside
right_hip
tail_end
head_midpoint
